Time,Channel A
(s),(mV)

0.44504601,-18.14099000
0.44581201,-18.14099000
0.44657801,-18.11639000
0.44734401,-18.11024000
0.44811001,-18.07332000
0.44887601,-18.04257000
0.44964201,-18.00566000
0.45040801,-17.96260000
0.45117401,-17.90723000
0.45194001,-17.83341000
0.45270601,-17.74114000
0.45347201,-17.64272000
0.45423801,-17.53199000
0.45500401,-17.42126000
0.45577001,-17.32899000
0.45653601,-17.25517000
0.45730201,-17.19980000
0.45806801,-17.15674000
0.45883401,-17.10138000
0.45960001,-17.05217000
0.46036601,-16.99680000
0.46113201,-16.94144000
0.46189801,-16.87992000
0.46266401,-16.81841000
0.46343001,-16.73843000
0.46419601,-16.67077000
0.46496201,-16.60925000
0.46572801,-16.55389000
0.46649401,-16.51083000
0.46726001,-16.46161000
0.46802601,-16.41855000
0.46879201,-16.35704000
0.46955801,-16.30167000
0.47032401,-16.24016000
0.47109001,-16.19094000
0.47185601,-16.14173000
0.47262201,-16.11097000
0.47338801,-16.09867000
0.47415401,-16.08637000
0.47492001,-16.08022000
0.47568601,-16.06791000
0.47645201,-16.03100000
0.47721801,-15.97564000
0.47798401,-15.91412000
0.47875001,-15.84030000
0.47951601,-15.78494000
0.48028201,-15.74803000
0.48104801,-15.72958000
0.48181401,-15.72342000
0.48258001,-15.71112000
0.48334601,-15.69882000
0.48411201,-15.69267000
0.48487801,-15.68036000
0.48564401,-15.66806000
0.48641001,-15.64345000
0.48717601,-15.63115000
0.48794201,-15.61885000
0.48870801,-15.60039000
0.48947401,-15.58194000
0.49024001,-15.58809000
0.49100601,-15.59424000
0.49177201,-15.59424000
0.49253801,-15.58809000
0.49330401,-15.57579000
0.49407001,-15.55733000
0.49483601,-15.55118000
0.49560201,-15.53888000
0.49636801,-15.52657000
0.49713401,-15.50197000
0.49790001,-15.48351000
0.49866601,-15.47121000
0.49943201,-15.48351000
0.50019801,-15.50197000
0.50096401,-15.52657000
0.50173001,-15.55118000
0.50249601,-15.56963000
0.50326201,-15.58194000
0.50402801,-15.59424000
0.50479401,-15.60039000
0.50556001,-15.60654000
0.50632601,-15.61270000
0.50709201,-15.63730000
0.50785801,-15.66191000
0.50862401,-15.68651000
0.50939001,-15.69882000
0.51015601,-15.68651000
0.51092201,-15.66191000
0.51168801,-15.61885000
0.51245401,-15.56348000
0.51322001,-15.50197000
0.51398601,-15.45891000
0.51475201,-15.42815000
0.51551801,-15.40354000
0.51628401,-15.37894000
0.51705001,-15.34818000
0.51781601,-15.31742000
0.51858201,-15.27436000
0.51934801,-15.21284000
0.52011401,-15.13287000
0.52088001,-15.05290000
0.52164601,-14.97908000
0.52241201,-14.89911000
0.52317801,-14.83760000
0.52394401,-14.79454000
0.52471001,-14.73917000
0.52547601,-14.69611000
0.52624201,-14.65305000
0.52700801,-14.60999000
0.52777401,-14.56078000
0.52854001,-14.51772000
0.52930601,-14.48696000
0.53007201,-14.46850000
0.53083801,-14.46850000
0.53160401,-14.48696000
0.53237001,-14.53002000
0.53313601,-14.57308000
0.53390201,-14.61614000
0.53466801,-14.63459000
0.53543401,-14.63459000
0.53620001,-14.62229000
0.53696601,-14.59769000
0.53773201,-14.57923000
0.53849801,-14.56078000
0.53926401,-14.56693000
0.54003001,-14.59153000
0.54079601,-14.64075000
0.54156201,-14.69611000
0.54232801,-14.74532000
0.54309401,-14.77608000
0.54386001,-14.76993000
0.54462601,-14.75763000
0.54539201,-14.73302000
0.54615801,-14.71457000
0.54692401,-14.69611000
0.54769001,-14.68381000
0.54845601,-14.68381000
0.54922201,-14.68996000
0.54998801,-14.68996000
0.55075401,-14.68381000
0.55152001,-14.65305000
0.55228601,-14.61614000
0.55305201,-14.59153000
0.55381801,-14.56693000
0.55458401,-14.56078000
0.55535001,-14.55463000
0.55611601,-14.56078000
0.55688201,-14.57308000
0.55764801,-14.59769000
0.55841401,-14.62844000
0.55918001,-14.66535000
0.55994601,-14.68996000
0.56071201,-14.70226000
0.56147801,-14.72072000
0.56224401,-14.71457000
0.56301001,-14.70842000
0.56377601,-14.70226000
0.56454201,-14.70226000
0.56530801,-14.71457000
0.56607401,-14.73917000
0.56684001,-14.78223000
0.56760601,-14.80684000
0.56837201,-14.83145000
0.56913801,-14.84375000
0.56990401,-14.86220000
0.57067001,-14.87451000
0.57143601,-14.89296000
0.57220201,-14.91142000
0.57296801,-14.94833000
0.57373401,-14.98524000
0.57450001,-15.02214000
0.57526601,-15.05290000
0.57603201,-15.07751000
0.57679801,-15.10212000
0.57756401,-15.12057000
0.57833001,-15.14518000
0.57909601,-15.18209000
0.57986201,-15.22515000
0.58062801,-15.26821000
0.58139401,-15.32357000
0.58216001,-15.39124000
0.58292601,-15.46506000
0.58369201,-15.53273000
0.58445801,-15.58194000
0.58522401,-15.64345000
0.58599001,-15.69267000
0.58675601,-15.72958000
0.58752201,-15.77264000
0.58828801,-15.82185000
0.58905401,-15.87721000
0.58982001,-15.94488000
0.59058601,-16.02485000
0.59135201,-16.12328000
0.59211801,-16.22785000
0.59288401,-16.31397000
0.59365001,-16.39395000
0.59441601,-16.47392000
0.59518201,-16.53543000
0.59594801,-16.60310000
0.59671401,-16.66462000
0.59748001,-16.73843000
0.59824601,-16.81841000
0.59901201,-16.91683000
0.59977801,-17.00295000
0.60054401,-17.10138000
0.60131001,-17.16904000
0.60207601,-17.23671000
0.60284201,-17.26747000
0.60360801,-17.29208000
0.60437401,-17.31668000
0.60514001,-17.34129000
0.60590601,-17.38435000
0.60667201,-17.44587000
0.60743801,-17.51353000
0.60820401,-17.58735000
0.60897001,-17.66117000
0.60973601,-17.73499000
0.61050201,-17.79035000
0.61126801,-17.83341000
0.61203401,-17.89493000
0.61280001,-17.95645000
0.61356601,-18.02411000
0.61433201,-18.10408000
0.61509801,-18.19636000
0.61586401,-18.28863000
0.61663001,-18.37475000
0.61739601,-18.46087000
0.61816201,-18.52854000
0.61892801,-18.57160000
0.61969401,-18.59006000
0.62046001,-18.61466000
0.62122601,-18.63927000
0.62199201,-18.66388000
0.62275801,-18.68848000
0.62352401,-18.71309000
0.62429001,-18.74385000
0.62505601,-18.79306000
0.62582201,-18.83612000
0.62658801,-18.86688000
0.62735401,-18.88533000
0.62812001,-18.90379000
0.62888601,-18.90994000
0.62965201,-18.92224000
0.63041801,-18.91609000
0.63118401,-18.94070000
0.63195001,-18.95915000
0.63271601,-18.98991000
0.63348201,-19.01451000
0.63424801,-19.02682000
0.63501401,-19.02067000
0.63578001,-19.00837000
0.63654601,-18.98991000
0.63731201,-18.97761000
0.63807801,-18.97145000
0.63884401,-18.95915000
0.63961001,-18.96531000
0.64037601,-18.97761000
0.64114201,-18.99606000
0.64190801,-19.01451000
0.64267401,-19.03297000
0.64344001,-19.02682000
0.64420601,-19.03912000
0.64497201,-19.04527000
0.64573801,-19.05143000
0.64650401,-19.05143000
0.64727001,-19.05143000
0.64803601,-19.05758000
0.64880201,-19.06988000
0.64956801,-19.08218000
0.65033401,-19.09449000
0.65110001,-19.10064000
0.65186601,-19.08218000
0.65263201,-19.05758000
0.65339801,-19.03297000
0.65416401,-18.99606000
0.65493001,-18.96531000
0.65569601,-18.92839000
0.65646201,-18.90379000
0.65722801,-18.87303000
0.65799401,-18.84842000
0.65876001,-18.82382000
0.65952601,-18.81152000
0.66029201,-18.79306000
0.66105801,-18.76845000
0.66182401,-18.75000000
0.66259001,-18.72539000
0.66335601,-18.70694000
0.66412201,-18.68848000
0.66488801,-18.68233000
0.66565401,-18.67618000
0.66642001,-18.65773000
0.66718601,-18.64542000
0.66795201,-18.62082000
0.66871801,-18.57775000
0.66948401,-18.52854000
0.67025001,-18.49163000
0.67101601,-18.44857000
0.67178201,-18.40551000
0.67254801,-18.38090000
0.67331401,-18.36860000
0.67408001,-18.36860000
0.67484601,-18.38090000
0.67561201,-18.38090000
0.67637801,-18.36245000
0.67714401,-18.31939000
0.67791001,-18.27633000
0.67867601,-18.22711000
0.67944201,-18.18405000
0.68020801,-18.13484000
0.68097401,-18.09178000
0.68174001,-18.04257000
0.68250601,-18.01796000
0.68327201,-17.98105000
0.68403801,-17.95029000
0.68480401,-17.91339000
0.68557001,-17.86417000
0.68633601,-17.79650000
0.68710201,-17.71653000
0.68786801,-17.64887000
0.68863401,-17.58120000
0.68940001,-17.53199000
0.69016601,-17.48277000
0.69093201,-17.42126000
0.69169801,-17.37205000
0.69246401,-17.31668000
0.69323001,-17.25517000
0.69399601,-17.17520000
0.69476201,-17.08907000
0.69552801,-16.97834000
0.69629401,-16.86147000
0.69706001,-16.73228000
0.69782601,-16.61540000
0.69859201,-16.51083000
0.69935801,-16.39395000
0.70012401,-16.27707000
0.70089001,-16.16634000
0.70165601,-16.06176000
0.70242201,-15.94488000
0.70318801,-15.82185000
0.70395401,-15.69882000
0.70472001,-15.58194000
0.70548601,-15.47121000
0.70625201,-15.37894000
0.70701801,-15.29897000
0.70778401,-15.22515000
0.70855001,-15.15748000
0.70931601,-15.09596000
0.71008201,-15.02830000
0.71084801,-14.94833000
0.71161401,-14.87451000
0.71238001,-14.80684000
0.71314601,-14.75148000
0.71391201,-14.68381000
0.71467801,-14.62844000
0.71544401,-14.59153000
0.71621001,-14.56693000
