Time,Channel A
(s),(mV)

0.49636801,-8.75676600
0.49713401,-8.80905400
0.49790001,-8.82750900
0.49866601,-8.81828200
0.49943201,-8.79367500
0.50019801,-8.78752400
0.50096401,-8.81520600
0.50173001,-8.84904000
0.50249601,-8.88287400
0.50326201,-8.92593500
0.50402801,-8.97207200
0.50479401,-9.02128300
0.50556001,-9.07972400
0.50632601,-9.13508800
0.50709201,-9.18430000
0.50785801,-9.23966500
0.50862401,-9.32271100
0.50939001,-9.40575800
0.51015601,-9.48265300
0.51092201,-9.54109200
0.51168801,-9.57800100
0.51245401,-9.58722900
0.51322001,-9.57800100
0.51398601,-9.54724300
0.51475201,-9.49803200
0.51551801,-9.44266700
0.51628401,-9.39960600
0.51705001,-9.38115100
0.51781601,-9.40268100
0.51858201,-9.44881800
0.51934801,-9.52263600
0.52011401,-9.61491000
0.52088001,-9.68565400
0.52164601,-9.72256400
0.52241201,-9.73486600
0.52317801,-9.74716900
0.52394401,-9.75639700
0.52471001,-9.78408000
0.52547601,-9.83021600
0.52624201,-9.90711100
0.52700801,-9.98092900
0.52777401,-10.05782000
0.52854001,-10.10704000
0.52930601,-10.12242000
0.53007201,-10.11011000
0.53083801,-10.07628000
0.53160401,-10.04245000
0.53237001,-10.00861000
0.53313601,-9.99015700
0.53390201,-9.99323200
0.53466801,-10.00246000
0.53543401,-10.00861000
0.53620001,-10.01169000
0.53696601,-9.99630800
0.53773201,-9.96555000
0.53849801,-9.92249000
0.53926401,-9.88558000
0.54003001,-9.88865600
0.54079601,-9.89788300
0.54156201,-9.91633800
0.54232801,-9.94709500
0.54309401,-9.96247400
0.54386001,-9.97477800
0.54462601,-9.98092900
0.54539201,-9.98092900
0.54615801,-9.97477800
0.54692401,-9.97170200
0.54769001,-9.95632300
0.54845601,-9.96247400
0.54922201,-9.98092900
0.54998801,-9.99630800
0.55075401,-10.01476000
0.55152001,-10.03322000
0.55228601,-10.03629000
0.55305201,-10.01169000
0.55381801,-9.97477800
0.55458401,-9.91941400
0.55535001,-9.84251900
0.55611601,-9.76562400
0.55688201,-9.70410800
0.55764801,-9.66104800
0.55841401,-9.63336600
0.55918001,-9.63028900
0.55994601,-9.65797200
0.56071201,-9.74409400
0.56147801,-9.85174700
0.56224401,-9.96555000
0.56301001,-10.05475000
0.56377601,-10.14395000
0.56454201,-10.23622000
0.56530801,-10.31004000
0.56607401,-10.37771000
0.56684001,-10.46075000
0.56760601,-10.54688000
0.56837201,-10.64838000
0.56913801,-10.75910000
0.56990401,-10.87906000
0.57067001,-10.98364000
0.57143601,-11.07899000
0.57220201,-11.14973000
0.57296801,-11.18971000
0.57373401,-11.20509000
0.57450001,-11.21124000
0.57526601,-11.20817000
0.57603201,-11.19894000
0.57679801,-11.18356000
0.57756401,-11.15280000
0.57833001,-11.10667000
0.57909601,-11.04208000
0.57986201,-10.98979000
0.58062801,-10.94980000
0.58139401,-10.92827000
0.58216001,-10.92520000
0.58292601,-10.93750000
0.58369201,-10.98671000
0.58445801,-11.04823000
0.58522401,-11.10974000
0.58599001,-11.15896000
0.58675601,-11.20817000
0.58752201,-11.25123000
0.58828801,-11.30352000
0.58905401,-11.35273000
0.58982001,-11.39272000
0.59058601,-11.43885000
0.59135201,-11.50037000
0.59211801,-11.54343000
0.59288401,-11.58649000
0.59365001,-11.64493000
0.59441601,-11.70337000
0.59518201,-11.75258000
0.59594801,-11.76796000
0.59671401,-11.78642000
0.59748001,-11.81102000
0.59824601,-11.83255000
0.59901201,-11.85101000
0.59977801,-11.88792000
0.60054401,-11.93405000
0.60131001,-11.97404000
0.60207601,-11.98019000
0.60284201,-11.94021000
0.60360801,-11.86639000
0.60437401,-11.75873000
0.60514001,-11.63263000
0.60590601,-11.49114000
0.60667201,-11.33120000
0.60743801,-11.16203000
0.60820401,-11.00517000
0.60897001,-10.86676000
0.60973601,-10.73450000
0.61050201,-10.62684000
0.61126801,-10.54380000
0.61203401,-10.46075000
0.61280001,-10.38078000
0.61356601,-10.30081000
0.61433201,-10.19931000
0.61509801,-10.10089000
0.61586401,-10.01476000
0.61663001,-9.94402000
0.61739601,-9.91941400
0.61816201,-9.91633800
0.61892801,-9.89480700
0.61969401,-9.83329100
0.62046001,-9.73794300
